id_playlist,playlist_name,id_artist,playlist_link_full,songs_number
1064,6,7700,https://www.soundcloud.com/mona-khaled-53281984/sets/6-1,287
1065,6,7706,https://www.soundcloud.com/lan-wei-hsiang/sets/6-1,201
1066,₆⁶₆,7712,https://www.soundcloud.com/user-943472311/sets/fgkfejcmqoca,328
1067,60th Birthday - Part 1,7718,https://www.soundcloud.com/gavin-beard/sets/60th-birthday-part-1,467
1068,666,7724,https://www.soundcloud.com/user-890586478/sets/666-1,450
1069,6th sense,7730,https://www.soundcloud.com/user-617142975/sets/6th-sense,495
1070,6,7736,https://www.soundcloud.com/khadijah-khalid-682988640/sets/6-1,450
1071,6: Plenty Moar Sick Beats,7742,https://www.soundcloud.com/codename_unown-557628683/sets/6-plenty-moar-sick-beats,485
1072,67,7748,https://www.soundcloud.com/saima-saleem-351508489/sets/67-1,433
1073,6,7754,https://www.soundcloud.com/tanmay-saigal/sets/6-1,411
1074,6alal,7760,https://www.soundcloud.com/dxhjibxg2rkq/sets/6alal,447
1075,6,7766,https://www.soundcloud.com/dad69xx/sets/6a1,495
1076,60's to 00's Best - part 4,7772,https://www.soundcloud.com/jeffstabile-yahoo-com/sets/60s-to-00s-best-part-4-1,473
1077,60's to 00's Best - part 4,7778,https://www.soundcloud.com/jeffstabile-yahoo-com/sets/60s-to-00s-best-part-4,473
1078,6,7784,https://www.soundcloud.com/user-7832083/sets/6-1,489
1079,666,7790,https://www.soundcloud.com/amr-okaa/sets/666-1,397
1080,6/3/17,7796,https://www.soundcloud.com/dave-roberts-26/sets/6-3-17,481
1081,6arab,7802,https://www.soundcloud.com/user640851494/sets/6arab,342
1082,6araB,7808,https://www.soundcloud.com/zioonx/sets/6arab-1,211
1083,666,7814,https://www.soundcloud.com/marcos-lamar-993779364/sets/666a1,153
1084,6ixty9ine,7820,https://www.soundcloud.com/imsnappysingh/sets/6ixty9ine,486
1085,60s Ballads,7826,https://www.soundcloud.com/anthony-bigd-lovell/sets/60s-ballads,48
1086,6,7831,https://www.soundcloud.com/lenefis/sets/music-no-6,407
1087,61U714  - Part 1,7837,https://www.soundcloud.com/vittoria-ricca/sets/61u714-part-1,477
1088,٦,7843,https://www.soundcloud.com/yoseef-essa/sets/og8vptti0pjr,283
1089,₆⁶₆,7849,https://www.soundcloud.com/seththekid/sets/d0fse8bzzgmq,378
1090,7makii,7852,https://www.soundcloud.com/belal-orange/sets/7makii,2
1091,7assan,7858,https://www.soundcloud.com/hassan-mohamed-242529534/sets/7assan,18
1092,7: Many Moar Sick Beats,7864,https://www.soundcloud.com/codename_unown-557628683/sets/7-many-moar-sick-beats,421
1093,7VEN EP,7870,https://www.soundcloud.com/tokyosrevenge/sets/7ven-ep,7
1094,7oodaa,7876,https://www.soundcloud.com/mahmoud-raafat-26/sets/7oodaa,395
1095,722,7882,https://www.soundcloud.com/oxjay-1/sets/722-1,14
1096,7uu,7883,https://www.soundcloud.com/eiqc7e12uqyj/sets/7uu,0
1097,7:14AM the Mixtape,7889,https://www.soundcloud.com/trapbeckham/sets/7-14am,7
1098,7amo,7895,https://www.soundcloud.com/mohamed-sobhy-elawady/sets/7amo,392
1099,7be4a,7901,https://www.soundcloud.com/mostafa-ali-878870359/sets/7be4a,412
1100,77777,7907,https://www.soundcloud.com/koko-koko-141/sets/77777-1,437
1101,7ob,7913,https://www.soundcloud.com/j-m-223912427/sets/7ob,481
1102,7azen,7919,https://www.soundcloud.com/j-m-223912427/sets/7azen,470
1103,7amza,7925,https://www.soundcloud.com/hamza-ahmed-697056448/sets/7amza,498
1104,7,7931,https://www.soundcloud.com/abou-bakr-baraka/sets/7-1,487
1105,7,7937,https://www.soundcloud.com/davidguetta/sets/7-seven,14
1106,"7gag,❤️❤️",7943,https://www.soundcloud.com/v-r-f-kh-r/sets/7gag,490
1107,7oka 14,7949,https://www.soundcloud.com/hoka-elmagic/sets/7oka-14,38
1108,7sam 7bib,7955,https://www.soundcloud.com/user333774694/sets/7sam-7bib,500
1109,7abeeby♥️,7961,https://www.soundcloud.com/user382814278/sets/7abeeby,315
1110,7oda,7967,https://www.soundcloud.com/mahmoud-salah-753517971/sets/7oda,400
1111,7-4-15,7969,https://www.soundcloud.com/r-b-holloway/sets/7-4-15,289
1112,7lww,7975,https://www.soundcloud.com/merna-bolis/sets/7lww,432
1113,70s Road Trip,7981,https://www.soundcloud.com/dirk-winterscheidt-207829586/sets/70s-road-trip,99
1114,7oda,7987,https://www.soundcloud.com/mahmoud-magdy-34/sets/7oda,352
1115,7adouta,7993,https://www.soundcloud.com/mahmoud-samy-136/sets/7adouta,307
1116,7 @goo,7999,https://www.soundcloud.com/ahmed-mossad-492061382/sets/7-goo,362
1117,70s Soul Classics,8005,https://www.soundcloud.com/dirk-winterscheidt-207829586/sets/70s-soul-classics,80
1118,7,8011,https://www.soundcloud.com/hossamkarimo/sets/my-songs,373
1119,73,8017,https://www.soundcloud.com/jgflgk0ncubi/sets/73-1,326
1120,7oODa,8023,https://www.soundcloud.com/mahmou-ong/sets/7ooda-1,334
1121,7oda,8029,https://www.soundcloud.com/4joymome82de/sets/7oda,351
1122,7oda,8035,https://www.soundcloud.com/mahmoud-said-399754964/sets/7oda,376
1123,٧٧,8041,https://www.soundcloud.com/mariam-m-habib/sets/acce2p9iflpb,420
1124,7,8047,https://www.soundcloud.com/ahmed-mohmed-shaban/sets/7-1,6
1125,7oda,8053,https://www.soundcloud.com/wjxwrwrwj6hb/sets/7oda,196
1126,70's LOVE TRAIN,8057,https://www.soundcloud.com/user-708678070-198616774/sets/70s-love-train,3
1127,7beby,8063,https://www.soundcloud.com/nayira-mohamed-295041487/sets/7beby,331
1128,70s: Hits & Deep Cuts №1 №2,8069,https://www.soundcloud.com/gonanci/sets/70s-hits-deep-cuts-no1-no2,424
1129,7amoly,8075,https://www.soundcloud.com/bahy-hamoly/sets/7amoly,390
1130,80s DARK WAVE,8081,https://www.soundcloud.com/underthesungod/sets/80s-dark-wave,112
1131,8 เหตุผล ที่คนทำธุรกิจออนไลน์ แล้วล้มเหลว,8083,https://www.soundcloud.com/arty-tan-477780433/sets/8-1,50
1132,8,8089,https://www.soundcloud.com/ocho-gonzalas/sets/8-1,62
1133,80s soft rock,8095,https://www.soundcloud.com/user6838986/sets/80s-soft-rock-2,310
1134,88GLAM,1723,https://www.soundcloud.com/88-glam-88-glam/sets/88glam-1,13
1135,80's R&B Hits | 1980's R&B/RnB/Throwbacks/Slow Jams/Cools/Love Songs,8101,https://www.soundcloud.com/anthony-bigd-lovell/sets/80s-r-b-hits-1980s-r-b-rnb,500
1136,8OU80 - Part 1,8104,https://www.soundcloud.com/miguel-mestre-103725284/sets/8ou80-part-1,489
1137,80's Radio Hits,8110,https://www.soundcloud.com/dirk-winterscheidt-207829586/sets/80s-radio-hits,162
1138,8dio - Sample Library Demos,8111,https://www.soundcloud.com/sample-library-demos/sets/8dio-sample-library-demos,444
1139,80's reggae/dancehall Leroy Gibbons — Samfie Girl,8117,https://www.soundcloud.com/user-708678070-198616774/sets/80s-reggae-dancehall-leroy,146
1140,80s Hits,8123,https://www.soundcloud.com/user-708678070-198616774/sets/80s-hits,100
1141,80s soft rock,8129,https://www.soundcloud.com/user-708678070-198616774/sets/80s-soft-rock,50
1142,8oda 💜 💜,8135,https://www.soundcloud.com/gha-da-72768449/sets/8oda-1,458
1143,80. playlist,8141,https://www.soundcloud.com/michael-miliner-354687349/sets/80-playlist-1,283
1144,80s Party,8147,https://www.soundcloud.com/user-17113723/sets/80s-party-1,389
1145,8d,8153,https://www.soundcloud.com/lewis-freeman-191617830/sets/8d,327
1146,80s Soul Jams | Ministry of Sound,8159,https://www.soundcloud.com/user-474894361/sets/80s-soul-jams-ministry-of-2,118
1147,80s Soul Jams | Ministry of Sound,8165,https://www.soundcloud.com/user-474894361/sets/80s-soul-jams-ministry-of-3,118
1148,80s Soul Jams | Ministry of Sound,8171,https://www.soundcloud.com/user-474894361/sets/80s-soul-jams-ministry-of-4,118
1149,80s Soul Jams | Ministry of Sound,8177,https://www.soundcloud.com/user-474894361/sets/80s-soul-jams-ministry-of-1,118
1150,80s Soul Jams | Ministry of Sound,8183,https://www.soundcloud.com/user-474894361/sets/80s-soul-jams-ministry-of,118
1151,88888,8189,https://www.soundcloud.com/fayza-ahmed-833091108/sets/88888-1,336
